FID,STATION,STATUS,TYPE,LINE,ObjectId,x,y
130,City Hall/SW 5th and Jefferson,Existing,MAX,GY,130,-122.679591308206,45.5151618418863
131,Pioneer Courthouse/SW 6th,Existing,MAX,GY,131,-122.678752431647,45.5187459759789
132,Pioneer Place/SW 5th,Existing,MAX,GY,132,-122.677787349906,45.5184990707693
133,SW 6th and Pine,Existing,MAX,GY,133,-122.676931107283,45.5221127760005
134,SW 5th and Oak,Existing,MAX,GY,134,-122.675969852119,45.5218653416585
135,NW 6th and Davis,Existing,MAX,GY,135,-122.676456282577,45.524137041799
136,NW 5th and Couch,Existing,MAX,GY,136,-122.675472935182,45.5241719830278
137,Union Station/NW 6th and Hoyt,Existing,MAX,GY,137,-122.67656173143,45.5270067478644
138,Union Station/NW 5th and Glisan,Existing,MAX,GY,138,-122.675578251357,45.527001644619
139,Civic Drive,Existing,MAX,B,139,-122.441515518212,45.5081067517292
140,South Waterfront,Existing,SC,NS,140,-122.672759733931,45.503072180194
141,NE Broadway & Ross,Existing,SC,CL,141,-122.669487134596,45.5344411611362
142,NE Weidler & Ross,Existing,SC,CL,142,-122.669247279107,45.5344372653422
143,NE Weidler & 2nd,Existing,SC,CL,143,-122.663466152178,45.5344381956653
144,NE Broadway & 2nd,Existing,SC,CL,144,-122.663426959938,45.5350080044053
145,NE Weidler & Grand,Existing,SC,CL,145,-122.6603233722,45.5344217732841
146,NE Grand & Weidler,Existing,SC,CL,146,-122.66051234293,45.5348347045794
147,NE 7th & Halsey,Existing,SC,CL,147,-122.658707929514,45.5333946014469
148,NE Grand & Multnomah,Existing,SC,CL,148,-122.660548873945,45.5316945978362
149,NE 7th & Holladay,Existing,SC,CL,149,-122.658757306403,45.5305481457282
150,NE Grand & Holladay,Existing,SC,CL,150,-122.660512256417,45.5297628093024
151,NE Oregon & Grand,Existing,SC,CL,151,-122.660389993206,45.5286915045027
152,NE Grand & Irving,Existing,SC,CL,152,-122.660544493269,45.5275442608118
153,NE Martin Luther King & Hoyt,Existing,SC,CL,153,-122.661838897562,45.5274116127703
154,SE Grand & Burnside,Existing,SC,CL,154,-122.660576937824,45.5227385075933
155,NE Martin Luther King & Burnside,Existing,SC,CL,155,-122.66188094581,45.5233957447831
156,SE Grand & Stark,Existing,SC,CL,156,-122.660588583137,45.5196820741418
157,SE Martin Luther King & Stark,Existing,SC,CL,157,-122.661895146585,45.5190602533641
158,SE Martin Luther King & Morrison,Existing,SC,CL,158,-122.661933825028,45.5169372070707
159,SE Grand & Morrison,Existing,SC,CL,159,-122.660634285144,45.5169417087317
160,SE Grand & Taylor,Existing,SC,CL,160,-122.660610252117,45.5148793062571
